City full name,City short name,Country,Region,Population year,Population,CDP reporting year,Access,Scale,Energy types covered by target, Base year,Base year total renewable energy covered by target (in unit specified in column 2),Base year percentage renewable energy of total energy or electricity,Target year,Target year total renewable energy covered by target (in unit specified in column 2),Target year percentage renewable energy of total energy,Plans to meet target (include details on types of energy),City location,Water 2014 - Number of drivers
Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,2015,824229,2015,Public,City-wide,Renewable electricity,,,,2014,1,0,0.2% of the total national energy.,"(22.173333, -100.97005)",
City of Minneapolis,Minneapolis,USA,North America,2014,407207,2017,Public,City-wide,All renewable electricity consumed (in MWh),2017,2017,1.7,2030,10,10,"This goal comes from the Minneapolis Climate Action Plan. Purchase RECs, subscribing to voluntary renewable programs through our electric utility, owning and operating solar arrays","(44.983334, -93.26667)",46
City of Windsor,Windsor,Canada,North America,2011,210891,2017,Public,City-wide,Total installed capacity of renewable electricity (in MW),2014,11,,2041,90,,"This target is only for solar, however the plan encourages other sources but does not specify targets. For clarity purposes, the full figures for “Base year - Total renewable energy covered by target” and for “Base year - Percentage renewable energy of total energy or electricity” have been added below.Base year - Total renewable energy covered by target (in unit specified in column 2): 10.7 MWBase year - Percentage renewable energy of total energy or electricity: 0.00016%","(42.314937, -83.036363)",42
New Taipei City Government,New Taipei ,Taiwan,East Asia,2014,3966818,2016,Public,City-wide,Renewable electricity,,,,2026,,15,Develop solar PV (photovoltaic) system and other renewable energy by organizing a one-stop service.,"(25.0111, 121.4458)",
City of Gdynia,Gdynia,Poland,Europe,2014,247799,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),1999,,,2020,,,"Increasing power installed in renewable energy sources by 14,4 MW","(54.51889, 18.530541)",29
City of Bournemouth,Bournemouth,United Kingdom,Europe,2015,191400,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2011,146,1,2020,1200,8,"The Bournemouth, Dorset and Poole Renewable Energy Strategy to 2020 have been developed, and is being implemented, by Dorset Energy Partnership (formerly the Dorset Energy Group). Here is a link to the strategy: https://www.dorsetforyou.com/media/180518/Renewable-Energy---Bournemouth-Dorset-and-Poole-Renewable-Energy-Strategy-to-2020/pdf/Bournemouth__Dorset_and_Poole_Renewable_Energy_Strategy_to_2020.pdf  The aspirational target in the Bournemouth, Dorset and Poole Renewable Energy Strategy to 2020 is 7.5% of total energy consumption equivalent to 1,200GWh of renewable energy, from local on-shore generation by 2020. 546 GWh is equivalent to 3.4% of total energy consumption in February 2015, representing a significant increase from 0.95 % in January 2011. The Strategy covers the production of renewable electricity and renewable heat, within Dorset.   The exact amount of renewable energy which will need to be installed by 2020, to achieve national and international targets and to reduce carbon dioxide emissions, depends on actual future energy demand. If demand for energy falls, so too does the amount of heat, electricity and transport fuel which needs to be generated from renewable resources. This means that both renewable energy generation and energy efficiency measures to reduce demand, must be progressed in parallel. Within Dorset this Strategy will, therefore complement the existing Bournemouth, Dorset and Poole Energy Efficiency Strategy and Action Plan (2009) which is also being delivered by the Dorset Energy Partnership.","(50.719164, -1.880769)",
City of Denver,Denver,USA,North America,2014,663862,2016,Public,City-wide,Renewable electricity,,,,2020,,50,"Denver recently changed the wording of its Energy goal from ""50% of energy coming from Renewable sources"" to ""reducing fossil fuel consumption by 50%""  Denver felt this absolute reduction in fossil fuel consumption would more accurately account for efficient space and water heating efforts.","(39.737567, -104.9847179)",46
Tokyo Metropolitan Government,Tokyo,Japan,East Asia,2015,13513734,2015,Public,City-wide,Renewable energy,,,,2024,,20,"?Supply Side?·Support to install solar energy system while retrofitting buildings, and to introduce solar panels in car partings.·Equip power generation system to incineration plants, and hydroelectric generation to water purification plants, and sewage plants.·Promote to introduce solar and wind power outside of Tokyo·Establish the system in which consumers can choose clean energy.?Demand Side?·Enhance climate actions with businesses and households.·Promote solar heat and thermal energy, and raise public awareness·Promote CHP and expand smart energy management system","(35.6896342, 139.6921007)",
Stadt Heidelberg,Stadt Heidelberg,Germany,Europe,2014,144948,2017,Public,City-wide,"Other:  The Masterplan 100% climate protection has two main goals: 1. To reduce CO2-Emissions by 95 % and to reduce the overall energy demand by 50%.  The bigger the share of renewables, the easier is the first goal to reach. But there are no numbers available to fill the following columns",1990,,,2050,,,"The target of the plan is to reduce the energy demand (heat and electricity) of the overall city by 50 % and to reduce the CO2-emissions by 95%. To meet those targets, the share of renewable energy has to increase continously. Still, the city of Heidelberg is part of the higly integrated German and European power grid and is not able to fullfill these targets on its own. Due to this, the german grid mix is used for the CO2-balance. The numbers delivered for question 8 are also based on the german grid mix in 2016.","(49.398752, 8.672434)",38
City of Amsterdam,Amsterdam,Netherlands,Europe,2015,822272,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2013,,,2020,,6,target is 20% 20% more production of renewable energy in 2020 in comparison to 2013. So it is formulated in terms of generated energy and not in terms of capacity.,"(52.370216, 4.895168)",
City of Stockholm,Stockholm,Sweden,Europe,2014,901989,2017,Public,City-wide,Renewable energy,,,,2040,,100,"Roadmap for a fossil fuel-free Stockholm 2040 (Färdplan 2040) in progress- as it is being updated from ""Roadmap for a fossil fuel-free Stockholm 2050"" The roadmap for making Stockholm fossil fuel-free by 2050 islinked to several of the City’s policy documents: theStockholm Environmental Programme 2012–2015, theStockholm Action Plan for Climate and Energy 2012–2015,The Walkable City – Stockholm City Plan (and the Urban Mobility Strategy, to name but a few. Vision 2030 and the City’s Energy Plan arealso key supporting documents for Roadmap 2050.The calculations in the roadmap take full account of allenergy use and all emissions of greenhouse gases withinthe geographical boundary of Stockholm Municipality for:• heating and cooling premises• all types of road transport• railways and shipping• flights to/from Bromma Airport up to 915 metres(3,000 feet)• other gas and electricity used by homes and businesses,for example for the production of goods andservices.The fossil fuels currently used in Stockholm are:• coal in the Värtan combined heat and power plant(CHP 6) for the production of district heating andelectricity• oil for heating boilers in buildings, for heating plantsproducing district heating, for industry and for shipping• natural gas for heating boilers in buildings, cookingstoves and vehicles• petroleum for road vehicles• diesel for road vehicles, construction machinery andshipping• aviation fuel• fossil-fuel based plastic that constitutes one of thefractions in the waste supplied to heating plants for theproduction of district heating.You can read more here: file:///H:/Roadmap%20for%20a%20fossil%20fuel-free%20Stockholm%202050%20(4).pdf","(59.3293235, 18.0685808)",
Auckland Council,Auckland ,New Zealand,South Asia and Oceania,2015,1569900,2017,Public,City-wide,Other,2009,7040713,72.7,2025,9529813,90,In line with the national target of 90% electricity generation from renewable sources by 2025,"(-36.815328, 174.741788)",
Communauté urbaine du Grand Nancy,Communauté urbaine du Grand Nancy,France,Europe,2014,265000,2016,Public,City-wide,Renewable energy,,,,2020,,20,,"(48.692054, 6.184417)",38
Inje County,Inje ,South Korea,East Asia,2015,33255,2016,Public,City-wide,Renewable electricity,,,,2030,298,51,"Following the establishment of 2045 plan for energy independence, local proliferation of photovoltaic, solar, thermal, and hydroelectric power stations","(38.069468, 128.170699)",85
City of Oakland,Oakland,USA,North America,2015,431500,2017,Public,City-wide,All renewable electricity produced (in MWh),2005,,,2020,,,Total renewable energy covered by target (62000 MWh),"(37.8044, -122.2708)",
Ville de Nyon,Nyon,Switzerland,Europe,2015,20444,2017,Public,City-wide,All renewable electricity consumed (in MWh),2011,95427,88,2020,,98,"politique des achats du fournisseur d'énergie à maintenir vers le renouvelable et la production locale	","(46.383268, 6.234785)",49
City of Los Angeles,Los Angeles,USA,North America,2014,3928864,2016,Public,City-wide,Renewable electricity,,,,2020,2400,33,Primarily through an expansion of utility-scale and distributed solar. Some geothermal may be added.,"(34.0522342, -118.2436849)",
City of Lancaster,Lancaster,USA,North America,2015,161000,2017,Public,City-wide,All renewable electricity consumed (in MWh),2010,173,,2020,,33,"City ordinance requiring solar panels on new residential rooftops, encouraging the development of solar projects.","(40.0379, -76.3055)",
Seoul Metropolitan Government,Seoul ,South Korea,East Asia,2015,10297138,2015,Public,City-wide,Renewable electricity,,,,2020,610,5,Solar power360MWFuel cell240MWBio/waste10MW,"(37.566535, 126.9779692)",85
City of Stockholm,Stockholm,Sweden,Europe,2014,901989,2015,Public,City-wide,Renewable electricity,,,,2020,,,"A city wide goal for Stockholm city to reach 2,3  tons C02e per capita. However, how much of this porportion will be renewable electricity is hard to say.","(59.3293235, 18.0685808)",
City of Toronto,Toronto,Canada,North America,2011,2753100,2016,Public,City-wide,Renewable energy,,,,2050,1000,20,"Renewable electricity through Ontario's Feed In Tariff program to install solar PV, wind and bio-energy","(43.653226, -79.3831843)",42
City of Yokohama,Yokohama,Japan,East Asia,2015,3719589,2017,Public,City-wide,Total installed capacity of renewable energy (in MW),2013,187,,2020,429,,target year total: 429solar power: 330 wind power:4 water power: 1 waste: 94,"(35.4437078, 139.6380256)",
City of Oslo,Oslo,Norway,Europe,2016,658390,2017,Public,City-wide,All renewable energy consumed (in MWh),1990,8100,100,2020,10000,100,Phase out of fossil heating oil by 2020. A national ban is expected to take effect by 2020. In the meantime we have national and regional supportschemes for the conversion to renewable alternatives and we work proactively to get in dialogue with people owning a oil fired boiler.,"(59.9138688, 10.7522454)",13
City of San Diego,San Diego,USA,North America,2016,1400000,2017,Public,City-wide,All renewable energy produced (in MWh),,23,,2035,,100,Present to City Council for consideration a Community Choice Aggregation (CCA) or another program that increases the renewable energy supply.,"(32.718146, -117.1701)",
